Wavel.,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G2,G3,G4,G5,G6,G7,G8,G9
393,13,15,14,11,12,13,15,11,13,11,155,162,162,171,173,170,177,190,189,212,242,289,346,589,1085,1744,2066,2079,2190,2125,2290,2382,2462,2535,594,634,605,609,618,693,815,1088,1448,1666,1840,1933,1501,2051,1898,1926,1925,1939,2051,2122,2267,2309,2388,2355
394,12,12,13,11,13,13,12,11,12,12,146,150,157,163,164,160,168,182,188,209,237,282,332,572,1049,1679,1992,1985,2114,2076,2192,2323,2341,2446,566,609,574,584,612,652,786,1042,1397,1591,1748,1855,1451,1991,1811,1835,1842,1862,1959,2018,2174,2235,2293,2212
395,12,13,12,11,12,13,12,12,12,13,139,147,150,159,154,155,165,174,182,198,231,262,311,540,996,1601,1904,1909,2024,1947,2112,2222,2207,2294,529,568,544,555,575,634,742,991,1325,1532,1674,1760,1369,1854,1731,1767,1773,1762,1869,2003,2056,2113,2201,2133
396,12,13,13,12,12,14,12,12,12,12,136,141,146,154,155,151,157,165,172,200,220,256,310,527,962,1556,1843,1837,1944,1886,2032,2101,2131,2202,514,544,530,526,541,599,728,950,1273,1470,1639,1707,1326,1789,1691,1715,1716,1690,1835,1890,2003,2016,2094,2094
397,12,13,12,12,12,13,12,12,13,11,133,137,136,148,151,148,151,157,167,184,211,246,288,503,916,1466,1745,1743,1853,1803,1913,2017,2049,2117,483,509,502,502,514,575,685,911,1208,1390,1517,1603,1250,1702,1601,1616,1600,1614,1728,1797,1896,1961,2006,1947
398,12,12,13,11,12,14,12,12,11,12,132,134,132,143,144,138,149,155,164,183,204,232,285,480,892,1407,1653,1649,1768,1732,1824,1941,1961,2047,459,483,497,487,491,540,666,871,1160,1336,1505,1553,1213,1659,1539,1578,1541,1552,1624,1720,1825,1876,1939,1885
399,14,13,13,11,12,13,12,12,11,11,132,130,131,140,141,136,147,155,156,178,200,228,279,474,863,1363,1642,1626,1719,1683,1790,1887,1902,1974,445,469,469,468,486,539,638,847,1129,1316,1445,1517,1182,1605,1482,1495,1495,1541,1595,1709,1778,1829,1855,1834
400,12,12,12,12,12,15,11,13,11,12,125,128,131,134,134,137,141,151,160,178,195,227,271,462,838,1335,1606,1592,1683,1627,1737,1835,1870,1919,432,464,466,452,469,511,622,823,1097,1268,1392,1470,1135,1571,1444,1462,1463,1494,1552,1567,1723,1781,1828,1795
401,12,12,11,11,11,14,10,10,11,11,116,115,113,122,121,118,126,133,141,157,173,205,238,406,737,1175,1426,1405,1488,1444,1553,1612,1648,1720,385,408,407,402,416,451,539,735,967,1105,1231,1303,1005,1383,1298,1298,1314,1295,1375,1378,1514,1555,1616,1607
402,12,11,10,11,11,14,11,10,10,13,114,116,115,119,118,120,126,135,140,158,171,200,233,401,721,1138,1378,1381,1425,1401,1524,1606,1595,1659,369,389,401,389,399,433,531,709,937,1101,1196,1249,984,1351,1266,1256,1257,1266,1340,1346,1482,1513,1583,1534
403,10,10,12,12,10,13,10,10,10,12,113,112,111,120,120,118,124,134,143,155,170,200,225,395,706,1144,1370,1357,1417,1385,1476,1562,1580,1645,365,389,398,381,400,431,514,691,927,1065,1192,1258,956,1329,1231,1247,1246,1246,1301,1331,1429,1493,1551,1549
404,11,12,10,12,12,13,12,10,10,13,112,110,110,117,119,115,123,132,135,155,165,194,222,380,688,1087,1322,1298,1362,1325,1417,1500,1506,1580,345,375,387,364,382,416,500,676,887,1041,1129,1183,933,1259,1185,1201,1211,1201,1269,1260,1404,1434,1474,1465
405,11,11,12,12,13,14,11,10,12,11,104,107,108,115,113,111,114,127,129,147,161,186,218,363,644,1029,1247,1234,1298,1261,1364,1422,1432,1491,329,348,369,346,358,396,483,632,833,970,1097,1126,884,1219,1136,1142,1143,1149,1190,1158,1336,1358,1410,1400
406,11,13,12,13,12,14,11,10,10,12,105,106,105,110,110,113,113,123,129,147,160,183,208,351,625,1013,1199,1165,1260,1227,1317,1364,1379,1433,322,337,359,340,351,382,459,619,831,956,1043,1097,860,1177,1101,1106,1091,1112,1136,1127,1309,1323,1355,1349
407,11,12,12,12,11,13,11,10,10,12,105,100,104,108,112,110,114,127,130,146,153,182,210,345,615,968,1159,1149,1221,1185,1276,1333,1345,1403,309,326,345,317,332,367,448,601,812,928,1006,1055,819,1131,1049,1073,1068,1070,1145,1098,1256,1291,1304,1322
